market-census	ts/src/apex.ts	fetchCurrencies	result	parseCurrencies	1	none	no-table-entry	-	Object	sim-ok
market-census	ts/src/alpaca.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/apex.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/apex.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/apex.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/apex.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/apex.ts	fetchOpenInterest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/apex.ts	fetchFundingRateHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/apex.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/apex.ts	setLeverage	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/alpaca.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/alpaca.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/alpaca.ts	fetchTickers	market	safeMarket	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/alpaca.ts	fetchTickers	ticker	safeTicker	2	none	no-table-entry	-	Object	sim-ok
market-census	ts/src/alpaca.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/alpaca.ts	fetchOrder	market	safeMarket	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/alpaca.ts	fetchDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/alpaca.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	fetchTickers	tickers	parseTickers	1	none	no-table-entry	-	Object	sim-ok
market-census	ts/src/aster.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	parseTicker	parsedTicker	safeTicker	2	none	no-table-entry	-	Object	sim-ok
market-census	ts/src/backpack.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	fetchFundingRate	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	fetchOpenInterest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	fetchFundingRateHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/backpack.ts	fetchDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
