total isEqual( 689
  181 null | expr
   63 bool | expr
   48 bool | unknown
   44 other | expr
   41 num | param:object
   32 str | expr
   32 strnum | expr
   32 bool | local:bool?
   26 strnum | local:object
   22 str | unknown
   21 num | local:object
   21 null | unknown
   15 strnum | param:object
   12 num | expr
   12 bool | local:bool
   11 other | local:object
   11 other | local:string?
   10 other | unknown
    8 num | param:string?
    8 other | local:int
    6 null | param:double
    6 null | param:Int64
    5 other | local:Int64?
    4 other | param:object
    4 strnum | unknown
    3 str | local:object
    3 str | param:object
    2 num | unknown
    1 null | local:int
    1 null | local:Int64
    1 str | local:bool?
    1 strnum | local:bool?
    1 other | param:string?
    1 other | local:bool?
